analise_id,trecho_id,analise_data,quantitativo
1,2,2026-05-14 11:59:02,0
2,13,2026-05-14 12:01:48,0
3,13,2026-05-14 12:01:59,0
4,13,2026-05-14 12:05:17,0
5,13,2026-05-14 12:05:21,0
6,13,2026-05-14 12:05:24,0
7,14,2026-05-14 12:08:29,0
8,14,2026-05-14 12:08:30,0
9,14,2026-05-14 12:08:31,0
10,14,2026-05-14 12:08:33,0
11,14,2026-05-14 12:08:35,16
12,15,2026-05-14 12:09:01,0
13,15,2026-05-14 12:09:03,0
15,15,2026-05-14 12:09:04,0
16,15,2026-05-14 12:09:05,2
17,16,2026-05-14 12:09:22,0
18,16,2026-05-14 12:09:23,0
19,16,2026-05-14 12:09:24,0
21,16,2026-05-14 12:09:28,2
22,17,2026-05-14 12:09:41,0
23,17,2026-05-14 12:09:42,0
24,17,2026-05-14 12:09:43,0
25,17,2026-05-14 12:09:44,0
26,17,2026-05-14 12:09:45,0
27,18,2026-05-14 12:09:46,0
28,18,2026-05-14 12:09:47,0
29,18,2026-05-14 12:09:48,0
31,18,2026-05-14 12:09:49,0
32,20,2026-05-14 12:11:32,6
33,20,2026-05-14 12:11:37,0
34,20,2026-05-14 12:11:42,0
35,20,2026-05-14 12:11:44,0
36,20,2026-05-14 12:11:45,0
37,20,2026-05-14 12:11:55,6
38,21,2026-05-14 12:12:09,4
39,21,2026-05-14 12:12:10,0
41,21,2026-05-14 12:12:11,0
42,21,2026-05-14 12:12:20,0
43,22,2026-05-14 12:12:22,2
44,22,2026-05-14 12:12:24,0
45,22,2026-05-14 12:12:25,0
46,22,2026-05-14 12:12:26,0
48,23,2026-05-14 12:12:36,0
50,23,2026-05-14 12:12:39,0
51,23,2026-05-14 12:12:40,0
52,23,2026-05-14 12:12:41,0
53,24,2026-05-14 12:12:50,18
54,24,2026-05-14 12:12:51,0
55,24,2026-05-14 12:12:52,0
56,24,2026-05-14 12:13:04,0
58,25,2026-05-14 12:13:18,0
60,25,2026-05-14 12:13:19,0
61,25,2026-05-14 12:13:20,0
62,25,2026-05-14 12:13:21,0
63,26,2026-05-14 12:13:42,28
64,26,2026-05-14 12:13:45,0
65,26,2026-05-14 12:13:46,0
67,26,2026-05-14 12:13:48,0
68,28,2026-05-14 12:14:05,0
69,28,2026-05-14 12:14:08,0
70,28,2026-05-14 12:14:13,0
71,28,2026-05-14 12:14:18,480
72,28,2026-05-14 12:14:21,0
73,30,2026-05-14 12:15:00,196
74,30,2026-05-14 12:15:06,32
75,30,2026-05-14 12:15:10,2
76,30,2026-05-14 12:15:14,80
77,30,2026-05-14 12:15:19,68
78,33,2026-05-14 12:15:34,136
79,33,2026-05-14 12:15:37,2
80,33,2026-05-14 12:15:40,0
81,33,2026-05-14 12:15:42,0
82,33,2026-05-14 12:15:47,0
83,32,2026-05-14 12:16:32,60
84,32,2026-05-14 12:16:36,0
85,32,2026-05-14 12:16:38,0
86,32,2026-05-14 12:16:41,14
87,32,2026-05-14 12:16:44,14
88,34,2026-05-14 12:17:19,120
89,34,2026-05-14 12:17:24,0
90,34,2026-05-14 12:17:28,120
91,34,2026-05-14 12:17:33,10
92,34,2026-05-14 12:17:36,0
93,35,2026-05-14 12:57:09,60
94,35,2026-05-14 12:57:12,110
95,35,2026-05-14 12:57:15,30
96,2,2026-05-14 13:14:38,0
97,2,2026-05-14 13:14:39,0
98,2,2026-05-14 13:14:40,0
99,2,2026-05-14 13:14:41,0
100,35,2026-05-14 13:16:29,0
101,35,2026-05-14 13:16:36,100
102,36,2026-05-14 13:17:13,690
103,36,2026-05-14 13:17:23,150
104,36,2026-05-14 13:17:28,20
105,36,2026-05-14 13:17:31,60
106,36,2026-05-14 13:17:48,30
107,37,2026-05-14 13:18:02,40
108,37,2026-05-14 13:18:10,1120
109,37,2026-05-14 13:18:15,40
110,37,2026-05-14 13:18:17,100
111,37,2026-05-14 13:18:23,0
112,38,2026-05-14 13:18:30,3710
113,38,2026-05-14 13:18:35,110
114,38,2026-05-14 13:18:37,20
115,38,2026-05-14 13:18:40,110
116,38,2026-05-14 13:18:43,10
117,40,2026-05-14 13:18:58,270
118,40,2026-05-14 13:19:03,170
119,40,2026-05-14 13:19:05,10
120,40,2026-05-14 13:19:07,94
121,40,2026-05-14 13:19:25,6
122,39,2026-05-14 13:19:58,174
123,39,2026-05-14 13:20:00,26
124,39,2026-05-14 13:20:03,12
125,39,2026-05-14 13:20:05,2
126,39,2026-05-14 13:20:07,2
127,42,2026-05-14 13:20:17,148
128,42,2026-05-14 13:20:21,176
129,42,2026-05-14 13:20:25,30
130,42,2026-05-14 13:20:28,356
131,42,2026-05-14 13:20:32,190
132,43,2026-05-14 13:20:41,420
133,43,2026-05-14 13:20:44,50
134,43,2026-05-14 13:20:46,14
135,43,2026-05-14 13:20:49,16
136,43,2026-05-14 13:20:52,0
137,45,2026-05-14 13:21:16,100
138,45,2026-05-14 13:21:29,50
139,45,2026-05-14 13:21:33,20
140,45,2026-05-14 13:21:39,20
141,45,2026-05-14 13:22:02,610
142,44,2026-05-14 13:22:27,40
143,44,2026-05-14 13:22:33,130
144,44,2026-05-14 13:22:36,70
145,44,2026-05-14 13:22:39,150
146,44,2026-05-14 13:22:48,80
147,46,2026-05-14 13:22:57,160
148,46,2026-05-14 13:23:01,0
149,46,2026-05-14 13:23:05,350
150,46,2026-05-14 13:23:09,260
151,46,2026-05-14 13:23:13,380
152,48,2026-05-14 13:23:24,320
153,48,2026-05-14 13:23:26,40
154,48,2026-05-14 13:23:29,40
155,48,2026-05-14 13:23:33,0
156,48,2026-05-14 13:23:36,0
157,50,2026-05-14 13:23:57,40
158,50,2026-05-14 13:23:59,10
159,50,2026-05-14 13:24:02,270
160,50,2026-05-14 13:24:04,10
161,50,2026-05-14 13:24:10,2280
162,54,2026-05-14 13:24:33,660
163,54,2026-05-14 13:24:37,3300
164,54,2026-05-14 13:24:39,24
165,54,2026-05-14 13:24:49,1960
166,54,2026-05-14 13:24:50,648
167,56,2026-05-14 13:24:57,12
168,56,2026-05-14 13:25:10,130
169,56,2026-05-14 13:25:13,0
170,56,2026-05-14 13:25:17,118
171,56,2026-05-14 13:25:18,6
172,70,2026-05-14 13:27:37,0
173,67,2026-05-14 13:27:53,2
174,69,2026-05-14 13:27:59,8
175,71,2026-05-14 13:28:04,70
176,73,2026-05-14 13:28:11,0
177,74,2026-05-14 13:28:19,0
178,75,2026-05-14 13:28:24,0
179,75,2026-05-14 13:28:27,0
180,76,2026-05-14 13:28:34,0
181,76,2026-05-14 13:28:38,30
182,72,2026-05-14 13:29:08,6600
183,72,2026-05-14 13:29:10,0
186,72,2026-05-14 13:29:11,0
187,72,2026-05-14 13:29:17,0
188,68,2026-05-14 13:29:36,10
189,68,2026-05-14 13:29:37,0
190,68,2026-05-14 13:29:38,0
193,31,2026-05-14 13:30:20,300
194,31,2026-05-14 13:30:24,10500
195,31,2026-05-14 13:30:29,4760
196,31,2026-05-14 13:30:31,410
197,31,2026-05-14 13:30:35,0
198,47,2026-05-14 13:30:57,440
